id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
6729698,2017/06/19 2:48 PM PDT,2017-06-19,2017-06-19 21:48:00 UTC,Pacific Time (US & Canada),28,tiwane,Tony Iwane,2017-06-20 14:12:24 UTC,2018-11-14 06:21:35 UTC,needs_id,CC0,https://www.inaturalist.org/observations/6729698,https://inaturalist-open-data.s3.amazonaws.com/photos/8543797/medium.jpg,,"contra costa county, east bay, macro, mount diablo, mount diablo butterfly count, mount diablo state park",On Western Sagebrush Lizard.,2,0,false,,"Contra Costa County, CA, USA",37.8808833333,-121.9084233333,,,,,,,,false,,,Mites and Ticks,Trombiculidae,Chiggers,Arachnida,245044
7864735,2017/04/02 1:43 PM PDT,2017-04-02,2017-04-02 20:43:00 UTC,Pacific Time (US & Canada),5504,amplex4love,Paul Maier,2017-09-10 19:07:24 UTC,2017-09-10 19:22:07 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/7864735,https://static.inaturalist.org/photos/10358106/medium.jpg,,"",,0,0,false,,"San Diego County, CA, USA",32.74483625,-116.1410522496,,,,,,,,false,,,Trombiculidae,Trombiculidae,Chiggers,Arachnida,245044
8550196,Wed Oct 25 2017 15:18:11 GMT-0700 (PDT),2017-10-25,2017-10-25 22:18:11 UTC,Pacific Time (US & Canada),543626,jedi_freshie,"",2017-10-25 22:21:31 UTC,2020-06-25 06:55:27 UTC,needs_id,,https://www.inaturalist.org/observations/8550196,https://static.inaturalist.org/photos/11444061/medium.jpg,,"",“Chigger” mite from domestic cat’s ear. Under 4x magnification.,0,0,false,3,"23 Orinda Way, Orinda, CA, US",37.8820633333,-122.18792,0,,,,0,,,false,,,,Trombiculidae,Chiggers,Arachnida,245044
9195820,2017/12/15 1:31 PM PST,2017-12-15,2017-12-15 21:31:00 UTC,Pacific Time (US & Canada),86100,naturenate,Nathan,2017-12-18 22:43:46 UTC,2018-01-02 18:45:16 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/9195820,https://static.inaturalist.org/photos/12447534/medium.jpeg,,"",on P. cadaverina,1,0,false,,"San Diego County, CA, USA",33.4353433333,-117.3754916667,,,,,,,,false,,,Trombiculidae,Trombiculidae,Chiggers,Arachnida,245044
49407581,Fri Jun 12 2020 07:51:19 GMT-0700 (PDT),2020-06-12,2020-06-12 14:51:19 UTC,Pacific Time (US & Canada),3169550,annierose,,2020-06-13 05:13:32 UTC,2020-06-13 05:13:38 UTC,needs_id,,https://www.inaturalist.org/observations/49407581,https://static.inaturalist.org/photos/78433727/medium.jpg,,"",,0,0,false,3,"Vernalis, CA, US",37.5854117512,-121.2441230649,2412575,,,,2412575,,,false,,,,Trombiculidae,Chiggers,Arachnida,245044
56089940,2020/07/07 8:13 AM PDT,2020-07-07,2020-07-07 15:13:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2020-08-11 02:02:58 UTC,2020-08-12 20:13:52 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/56089940,https://inaturalist-open-data.s3.amazonaws.com/photos/89355843/medium.jpeg,,"velvet mite, red",Large mite on upper intertidal rock.,1,0,false,,"Daly City, California, USA",37.6662303,-122.4960807,7,,,,7,,,false,,,Chiggers & Allies,Trombiculidae,Chiggers,Arachnida,245044
73237721,2021/04/07 2:28 PM PDT,2021-04-07,2021-04-07 21:28:00 UTC,Pacific Time (US & Canada),2406841,ponerinecat,Grant Wang,2021-04-07 22:12:34 UTC,2022-05-19 23:30:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/73237721,https://inaturalist-open-data.s3.amazonaws.com/photos/119544709/medium.jpeg,,"","",2,0,false,,"California, US",38.665925045,-120.9929007589,4073,,,,28210,obscured,,true,,google,Chiggers & Allies,Trombiculidae,Chiggers,Arachnida,245044
107295847,2022/02/20 6:04 PM PST,2022-02-20,2022-02-21 02:04:00 UTC,Pacific Time (US & Canada),425713,chloe_and_trevor,Chloe and Trevor Van Loon,2022-02-23 03:46:12 UTC,2023-08-11 12:39:09 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/107295847,https://inaturalist-open-data.s3.amazonaws.com/photos/180427457/medium.jpg,,"",I think? Found under a rock in a stream at an oasis. Very wet situation. 2mm long.,2,0,false,,"San Diego County, US-CA, US",32.8583816533,-116.2274403706,1810,,,,1810,,,false,,,Chiggers & Allies,Trombiculidae,Chiggers,Arachnida,245044
111989562,2022/04/13 8:17 AM PDT,2022-04-13,2022-04-13 15:17:00 UTC,Pacific Time (US & Canada),282220,ericcleveland,Eric Cleveland,2022-04-19 00:08:04 UTC,2022-04-20 00:33:07 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/111989562,https://inaturalist-open-data.s3.amazonaws.com/photos/189106583/medium.jpeg,,"",Interested to know if these are mites.,1,0,false,,"San Bernardino County, CA, USA",34.0491666836,-116.5668491592,127,,,,127,,,false,,,Chiggers,Trombiculidae,Chiggers,Arachnida,245044
145290186,2022-12-28 13:51:11-08:00,2022-12-28,2022-12-28 21:51:11 UTC,Pacific Time (US & Canada),3599896,itazura,,2022-12-28 22:04:07 UTC,2022-12-28 22:04:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/145290186,https://inaturalist-open-data.s3.amazonaws.com/photos/249552065/medium.jpg,,"","",0,0,false,3,"Glencoe Heights Dr, Glendora, CA, US",34.1523221667,-117.8547833333,5,,,,5,,,false,,,"",Trombiculidae,Chiggers,Arachnida,245044
