id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
16980,2011-05-12,2011-05-12,,Pacific Time (US & Canada),710,johngcramer,John Cramer III,2011-05-13 00:41:33 UTC,2023-05-26 15:35:44 UTC,needs_id,,http://www.inaturalist.org/observations/16980,https://static.inaturalist.org/photos/31664/medium.JPG,,"",Insect larvae moving in stagnant water.,3,0,false,,"Campbell Park, Campbell, CA",37.2856817,-121.9391338,,,,,,,,false,,,mosquitoes,Culicidae,Mosquitoes,Insecta,52134
23655,2011-06-26,2011-06-26,,Pacific Time (US & Canada),642,biosam,Sam McNally,2011-07-01 23:39:59 UTC,2017-06-03 23:33:25 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/23655,https://inaturalist-open-data.s3.amazonaws.com/photos/449866/medium.png,,"","I believe this is a mosquito pupa. While searching a shallow, flooded meadow, I noticed these shrimp-like creatures wriggling somewhat tadpole like. Motile pupae! I guess baby mosquitoes never stop wriggling.",0,0,false,,"Gray Eagle Lodge Rd, Graeagle CA",39.7244179,-120.6594895,,,,,,,,false,,"",mosquitoes,Culicidae,Mosquitoes,Insecta,52134
69233,2012-04-22,2012-04-22,,Pacific Time (US & Canada),5858,sheldonsophie1,Sophie Sheldon,2012-04-22 23:32:30 UTC,2016-03-01 21:50:11 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/69233,https://static.inaturalist.org/photos/104700/medium.jpg,,"","Larvae floating in still water.  Only about half a centimeter at most.  Don't seem to have any limbs, they just wiggle around in the water.",3,0,false,,3535 midway drive santa rosa california,38.450168,-122.6767,190,,,,190,,,false,,,Mosquito Larvae,Culicidae,Mosquitoes,Insecta,52134
80082,Sun May 13 2012 17:00:00 GMT-0700 (PDT),2012-05-13,2012-05-14 00:00:00 UTC,Pacific Time (US & Canada),5941,noonan_jared_5,"",2012-05-18 01:10:47 UTC,2021-12-21 07:05:02 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/80082,https://static.inaturalist.org/photos/118020/medium.jpg,,"",These larvae were swimming around In standing water inside of a bucket. They were very small and hard to photograph. They swam with a wiggle motion but cling to the walls mostly. The water was uncovered and not in shade,1,0,false,,"18028–18032 Bei Rd, Cazadero, California, US",38.530583,-123.097014,,,,,,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
96486,2012-06-25,2012-06-25,,Pacific Time (US & Canada),3090,zabbey,Zack Abbey,2012-06-27 00:39:14 UTC,2018-03-19 15:32:27 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/96486,https://inaturalist-open-data.s3.amazonaws.com/photos/140382/medium.JPG,,"","",1,0,false,,Simi Valley,34.2536683043,-118.7928204238,,,,,,,,false,,,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134
108089,2012-06-21,2012-06-21,,Pacific Time (US & Canada),505,dloarie,Don Loarie,2012-07-31 04:07:58 UTC,2023-11-13 11:33:54 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/108089,https://inaturalist-open-data.s3.amazonaws.com/photos/154697/medium.jpg,,"",It's easy to see why swatting them is counterproductive. ,1,0,false,,"Alexander Valley, CA",38.6125175746,-122.7836448434,,,,,,,,false,,,Culicine Mosquitoes,Culicinae,Culicine Mosquitoes,Insecta,357355
123840,2012-09-14,2012-09-14,,Pacific Time (US & Canada),3090,zabbey,Zack Abbey,2012-09-16 23:58:50 UTC,2023-11-13 11:42:59 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/123840,https://inaturalist-open-data.s3.amazonaws.com/photos/175971/medium.JPG,,"","",0,0,false,,Calleguas Creek,34.1177469963,-119.0790832043,,,,,,,,false,,,mosquitoes,Culicidae,Mosquitoes,Insecta,52134
125839,2012-09-01,2012-09-01,,Pacific Time (US & Canada),505,dloarie,Don Loarie,2012-09-22 14:19:54 UTC,2017-02-06 05:53:52 UTC,research,CC-BY,http://www.inaturalist.org/observations/125839,https://inaturalist-open-data.s3.amazonaws.com/photos/178131/medium.jpg,,"","",1,0,false,,"Alexander Valley, CA ",38.6122244233,-122.781818259,,,,,,,,false,,,Anopheles freeborni,Anopheles freeborni,,Insecta,153428
146216,"November 10, 2012 13:29",2012-11-10,2012-11-10 21:29:00 UTC,Pacific Time (US & Canada),5692,justin2,Justin,2012-11-11 00:59:09 UTC,2020-04-28 01:44:11 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/146216,https://inaturalist-open-data.s3.amazonaws.com/photos/201784/medium.JPG,,"","""Wrigglers"" in a stagnant pool near the river. In the city, I would assume mosquito larva. Or something else entirely? No idea.",1,0,false,,Confluence,38.915981,-121.038139,,,,,,,,false,,,Culicine Mosquitoes,Culicinae,Culicine Mosquitoes,Insecta,357355
155887,2012-12-01,2012-12-01,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2012-12-02 08:50:41 UTC,2021-01-20 03:05:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/155887,https://inaturalist-open-data.s3.amazonaws.com/photos/213154/medium.jpg,,"","",1,0,false,,"Quail Hollow Ranch Co. Park, Santa Cruz Co. CA",37.084364,-122.061449,6,,,,6,,,false,,google,Cold Weather Mosquito,Culiseta incidens,Cold Weather Mosquito,Insecta,259109
